"songs with hunting dance" hunting, dance
"songs of games played in a ceremonial manner" games, ceremonial
"songs connected with war and hunting" war, hunting
"songs for success in hunting" hunting
"songs of ceremonial dances" ceremonial, dance
"mide songs" healing
"social dance with hunting dance" hunting, dance, ceremonial
"hunting songs" hunting
"bullet game" game
"hunting" hunting
"songs connected with girls' adolecence ceremony" ceremonial, women
"songs with games" hame
"Comanche Dance Song"	dance, tribename
"songs of the turkey dance"	dance, animal
"songs of the while earth reservation"	
"songs of the wolf society"	animal
"songs of the woman's dance"	dance, women
"songs of war"	war
"songs of women's dance"	dance
"songs received from animals"	animal
"songs to insure success"	spiritual
"songs used in the treatment of the sick"	healing
"songs used in treating the sick"	healing
"songs used in treatment of the sick"	healing
"songs with contest of medicine after potlatch"	healing
"songs with contest of physical strength"	game
"songs with contests of medicine after potlatch"	healing
"songs with feast for whale fin"	ceremonial
"songs with game"	game
"songs with hunt dance"	dance
"songs with kwekwasa dance"	dance
"songs with legends of whaling"	legends
"songs with legends told to children"	legends
"songs with stories"	legends
"songs with the corn dance"	dance, harvest
"songs with treatment of the sick"	healing
"southern dance songs"	dance
"steal-partner dance songs"	dance
"stomp dance songs"	dance
"summer dances"	dance
"tick dance songs"	dance, animal
"tobacco dance songs"	dance, harvest
"uncategorized"	uncategorized
"unclassified songs"	uncategorized
"war songs"	war
"winter dance songs"	dance, seasonal
"winter dances"	dance, seasonal
"woman's dance songs"	dance, women
"woman's game songs"	game, women
"Ceremony of the Little River Women Society"	society songs
"Mandan Black Mouth Society"	society songs
"Mandan Garden Songs"	society songs
"Mandan Goose Women Society"	society songs
"Mandan Women's Society"	society songs
"Mandan and Hidatsa Horse Society"	society songs
"Mandan and Hidatsa Men's Buffalo Society"	society songs
"Mandan and Hidatsa Men's Dog Society"	society songs
"Mandan and Hidatsa Men's Foolish Dog Society"	society songs
"Mandan and Hidatsa Men's Fox Society"	society songs
"Mandan and Hidatsa Men's Young Dog Society"	society songs
"Mandan and Hidatsa Miscellaneous Songs"	society songs
"Mandan and Hidatsa War Songs"	war
"Songs Connected With Legends and Folk-Tales"	legends
"pastime"	game
